1,Dhaula Kuan / A.R.S.D. College,9:25,0:00,0:00
2,Satya Niketan,9:26,9:25,0:01
3,Moti Bagh Gurudwara Nanakpura,9:28,9:26,0:02
4,South Moti Bagh,9:30,9:28,0:02
5,R.K. Puram Sector 12,9:31,9:30,0:01
6,Sangam Cinema,9:33,9:31,0:02
7,R.K. Puram Sector 10,9:35,9:33,0:02
8,Mohan Singh Market,9:37,9:35,0:02
9,R.K. Puram Sector 1 & 2,9:38,9:37,0:01
10,R.K. Puram Sector 1,9:39,9:38,0:01
11,R.K. Puram / N.A.B.,9:41,9:39,0:02
12,Munirka,9:42,9:41,0:01
13,Munirka / Family Planning Association of India,9:43,9:42,0:01
14,D.D.A. Flats Munirka,9:44,9:43,0:01
15,I.S.T.M.,9:45,9:44,0:01
16,Ber Sarai,9:46,9:45,0:01
17,School of Physical Science,9:48,9:46,0:02
18,F.A.I.,9:49,9:48,0:01
19,Sanskrit Vidyapeeth,9:50,9:49,0:01
20,Katwaria Sarai,9:52,9:50,0:02
21,Qutub Hotel,9:53,9:52,0:01
22,NCERT,9:54,9:53,0:01
23,Adhchini Village,9:55,9:54,0:01
24,The Mothers International School,9:56,9:55,0:01
25,I I T Gate Bus Stop,9:58,9:56,0:02
26,Sarvapriya Vihar,9:59,9:58,0:01
27,Panchsheel Enclave,10:00,9:59,0:01
28,Swami Nagar,10:05,10:00,0:05
29,Masjid Moth,10:07,10:05,0:02
30,OS Communication Bus Stop,10:09,10:08,0:01
31,Pamposh Enclave,10:10,10:09,0:01
32,Nehru Place Terminal,10:12,10:10,0:02
33,Paras Cinema,10:13,10:12,0:01
34,Kalkaji Mandir Bus Stop,10:14,10:13,0:01
35,Govind Puri Metro Station,10:15,10:14,0:01
36,Kalkaji Depot,10:16,10:15,0:01
37,C Lal Chowk,10:18,10:16,0:02
38,Okhla Phase 1,10:22,10:18,0:04
39,Central Workshop,10:24,10:22,0:02
40,Tehkhand Depot,10:25,10:24,0:01
41,Prem Nagar,10:27,10:25,0:02
42,Lal Kuan,10:28,10:27,0:01
43,Suraj Kund Crossing,10:30,10:28,0:02
44,Prahlad Pur,10:32,10:30,0:02
45,Rajiv Gandhi Stadium,10:34,10:32,0:02
46,Jaitpur Crossing,10:35,10:34,0:01
47,Badarpur Border,10:36,10:35,0:01
